Department,DistinguishedName,Enabled,GivenName,mail,Manager,Name,ObjectClass,ObjectGUID,OfficePhone,SamAccountName,SID,sn,Surname,Title,UserPrincipalName,DoB,Gender,
Strategy Consulting,CN=Aaron Painter,TRUE,Aaron,aaronp@contoso.com,CN=Christine Koch,Aaron Painter,user,907dbfd3-298a-4388-8dd9-707760dd3092,(212) 555-8335,aaronp,S-1-5-21-331390976-2650875657-2422772959-1730,Painter,Painter,Strategy Consulting Manager,,12/25/1978,1,Female
Operations,CN=Adam Barr,TRUE,Adam,adamb@contoso.com,CN=Dan Jump,Adam Barr,user,7846c22f-d3d8-4e02-8b62-d055d0284783,(206) 555-5472,adamb,S-1-5-21-331390976-2650875657-2422772959-1706,Barr,Barr,General Manager of Professional Services,,9/4/1981,1,Female
Sales,CN=Alan Brewer,TRUE,Alan,alanb@contoso.com,CN=Jack Creasey,Alan Brewer,user,9476eed7-4e97-4378-b0be-0d8ca07906fd,(804) 555-2217,alanb,S-1-5-21-331390976-2650875657-2422772959-1720,Brewer,Brewer,Regional Sales Manager,,11/28/1978,2,Other
Project Management,CN=Alan Steiner,TRUE,Alan,alans@contoso.com,CN=Adam Barr,Alan Steiner,user,5ff9eed7-6b0d-4b20-bed5-b0b904191880,(206) 555-2443,alans,S-1-5-21-331390976-2650875657-2422772959-1707,Steiner,Steiner,Director of Project Management Team,,1/26/1988,0,Male
1099 Contractor,CN=Alexandre Silva,TRUE,Alexandre,alexans@contoso.com,CN=Brian Groth,Alexandre Silva,user,2ff50834-a953-426c-a3f4-397e2c7ad961,(206) 555-5413,alexans,S-1-5-21-331390976-2650875657-2422772959-1802,Silva,Silva,Project Manager,,3/5/1980,1,Female
Content Management Consulting,CN=Alfons Parovszky,TRUE,Alfons,alfonsp@contoso.com,CN=Stan Orme,Alfons Parovszky,user,d97650ab-db13-4f64-9126-f88670e1c084,(206) 555-1659,alfonsp,S-1-5-21-331390976-2650875657-2422772959-1829,Parovszky,Parovszky,Content Management Consultant,,12/22/1969,2,Other
Sales,CN=Alicia Thomber,TRUE,Alicia,aliciat@contoso.com,CN=David Simpson,Alicia Thomber,user,54166cfd-94e0-4fa8-8794-3ade7fb3fb95,(714) 555-4825,aliciat,S-1-5-21-331390976-2650875657-2422772959-1931,Thomber,Thomber,Salesperson,,1/29/1978,2,Other
Project Management,CN=Alisa Lawyer,TRUE,Alisa,alisal@contoso.com,CN=Scott Bishop,Alisa Lawyer,user,17cc34d0-fda3-4061-a35b-989d01b1975e,(206) 555-4738,alisal,S-1-5-21-331390976-2650875657-2422772959-1867,Lawyer,Lawyer,Project Manager,,2/24/1974,0,Male
Engineering Operations,CN=Allan Guinot,TRUE,Allan,allang@contoso.com,CN=Carol Troup,Allan Guinot,user,5914122f-d433-4094-9a83-7fcbdcecaec6,(206) 555-6127,allang,S-1-5-21-331390976-2650875657-2422772959-1773,Guinot,Guinot,Engineer,,5/5/1966,2,Other
Strategy Consulting,CN=Allison Brown,TRUE,Allison,allisob@contoso.com,CN=Aaron Painter,Allison Brown,user,dda65c86-f801-448a-b447-823aee708d4e,(206) 555-5461,allisob,S-1-5-21-331390976-2650875657-2422772959-1791,Brown,Brown,Strategy Consultant,,11/21/1973,1,Female
Human Resources,CN=Amy Alberts,TRUE,Amy,amya@contoso.com,CN=Garth Fort,Amy Alberts,user,d24e5009-dcf1-4d20-9aa3-874a83283cf0,(206) 555-1346,amya,S-1-5-21-331390976-2650875657-2422772959-1735,Alberts,Alberts,HR Manager,,10/6/1989,1,Female
1099 Contractor,CN=Anders Madsen,TRUE,Anders,andersm@contoso.com,CN=Brian Groth,Anders Madsen,user,09613928-992c-4328-8024-7e22919ef2b3,(206) 555-7593,andersm,S-1-5-21-331390976-2650875657-2422772959-1801,Madsen,Madsen,Project Manager,,9/19/1971,0,Male
1099 Contractor,CN=Andrea Dunker,TRUE,Andrea,andread@contoso.com,CN=Brian Groth,Andrea Dunker,user,e9008cec-b2a8-4f45-91b1-6a09ae10cd47,(206) 555-1413,andread,S-1-5-21-331390976-2650875657-2422772959-1820,Dunker,Dunker,Project Manager,,8/15/1978,0,Male
Project Management,CN=Andrew Ma,TRUE,Andrew,andrewm@contoso.com,CN=Alan Steiner,Andrew Ma,user,d7777583-6b90-40eb-91a8-6f2bf2791f4e,(206) 555-6345,andrewm,S-1-5-21-331390976-2650875657-2422772959-1731,Ma,Ma,Senior Project Manager,,2/25/1986,1,Female
Project Management,CN=Andy Jacobs,TRUE,Andy,andyj@contoso.com,CN=Scott Bishop,Andy Jacobs,user,d614cab3-cbef-4f76-ac89-6272c4296a5b,(206) 555-4262,andyj,S-1-5-21-331390976-2650875657-2422772959-1883,Jacobs,Jacobs,Senior Project Manager,,6/2/1969,0,Male
Senior Management,CN=Anna Lidman,TRUE,Anna,annal@contoso.com,CN=Christa Geller,Anna Lidman,user,d70e0bad-9aca-44c7-94cb-12bc7ca5f222,(425) 555-0172,annal,S-1-5-21-331390976-2650875657-2422772959-1722,Lidman,Lidman,SVP of Online Services,,6/18/1968,1,Female
Strategy Consulting,CN=Anne Weiler,TRUE,Anne,annew@contoso.com,CN=Cesar Garcia,Anne Weiler,user,4b6ea132-e8fa-4d67-b0e9-c194d201309d,(206) 555-6443,annew,S-1-5-21-331390976-2650875657-2422772959-1790,Weiler,Weiler,Strategy Consultant,,3/5/1965,1,Female
Sales,CN=Annelie Zubar,TRUE,Annelie,anneliz@contoso.com,CN=Jose Saraiva,Annelie Zubar,user,043eef25-992d-4761-b948-1ea1977b4160,2555-4845,anneliz,S-1-5-21-331390976-2650875657-2422772959-1929,Zubar,Zubar,Salesperson,,1/19/1973,2,Other
Creative,CN=Anu Deshpande,TRUE,Anu,anud@contoso.com,CN=Carol Troup,Anu Deshpande,user,eaea736d-6e68-4047-bb22-ca7f8a793ccb,(206) 555-6699,anud,S-1-5-21-331390976-2650875657-2422772959-1772,Deshpande,Deshpande,Engineer,,8/29/1987,2,Other
Sales,CN=April Stewart,TRUE,April,aprils@contoso.com,CN=Eduard Dell,April Stewart,user,2bfaa552-d9a5-41e9-a6c3-5be62b4433c8,(312) 555-5454,aprils,S-1-5-21-331390976-2650875657-2422772959-1729,Stewart,Stewart,Sales Manager,,10/29/1970,1,Female
Engineering Operations,CN=Ari Suominen,TRUE,Ari,aris@contoso.com,CN=Carol Troup,Ari Suominen,user,74de80f2-9eab-4c4c-8df5-af0dc32f16ca,(206) 555-7231,aris,S-1-5-21-331390976-2650875657-2422772959-1771,Suominen,Suominen,Engineer,,3/10/1988,1,Female
Strategy Consulting,CN=Arlene Huff,TRUE,Arlene,arleneh@contoso.com,CN=Jenni Merrifield,Arlene Huff,user,6f06f83c-683b-471c-8113-4b4d5119787b,(206) 555-9538,arleneh,S-1-5-21-331390976-2650875657-2422772959-1942,Huff,Huff,Strategy Consultant,,11/20/1970,0,Male
Sales Engagement Management,CN=Arthur Yasinski,TRUE,Arthur,arthury@contoso.com,CN=Spencer Low,Arthur Yasinski,user,6a11df26-6b53-4baf-b3c8-25add379d21f,(214) 555-3187,arthury,S-1-5-21-331390976-2650875657-2422772959-1733,Yasinski,Yasinski,Sales Manager,,11/9/1987,1,Female
Operations,CN=Arturo Lopez,TRUE,Arturo,arturol@contoso.com,CN=Kelly Weadock,Arturo Lopez,user,a528dc1d-0042-484d-81cb-dc58c95d8147,(206) 555-3186,arturol,S-1-5-21-331390976-2650875657-2422772959-1728,Lopez,Lopez,IT Director,,5/2/1990,2,Other
Project Management,CN=Ayla Kol,TRUE,Ayla,aylak@contoso.com,CN=Scott Bishop,Ayla Kol,user,0f42a43f-7ae4-4e1d-aca2-8ed2f48da070,(206) 555-3448,aylak,S-1-5-21-331390976-2650875657-2422772959-1866,Kol,Kol,Project Manager,,10/1/1972,1,Female
Project Management,CN=Barry Johnson,TRUE,Barry,barryj@contoso.com,CN=Alan Steiner,Barry Johnson,user,23072c6f-3814-4be2-b4f1-ea74a3df4e40,(206) 555-8673,barryj,S-1-5-21-331390976-2650875657-2422772959-1746,Johnson,Johnson,Project Manager,,8/22/1986,0,Male
Operations,CN=Ben Spain,TRUE,Ben,bens@contoso.com,CN=Adam Barr,Ben Spain,user,c9b92bc2-af45-453d-a6cf-00ce57cbdc3d,(206) 555-8216,bens,S-1-5-21-331390976-2650875657-2422772959-1748,Spain,Spain,Manager,,6/13/1978,1,Female
Engineering Operations,CN=Bernard Tham,TRUE,Bernard,bernart@contoso.com,CN=Carol Troup,Bernard Tham,user,51ae8f34-698e-4651-a429-2cb825cbe449,(206) 555-3119,bernart,S-1-5-21-331390976-2650875657-2422772959-1770,Tham,Tham,Engineer,,7/1/1984,1,Female
